Term,Human,MeSH GPT,Abstract GPT
focus groups,0.0004194102939873958,0.0,0.0
document analysis,0.0004194102939873958,0.0,0.0
genetic techniques,0.0004191728864027831,0.0,0.0
blood volume,0.000416866588878639,0.0,0.0
lewy bodies,0.0003980784329072656,0.0,0.0
muscle strength,0.00039796055348558375,0.0,0.0
crohn disease,0.0003979439004654882,0.0,0.0
cocaine,0.0003963626038410638,0.0,0.0
probability,0.00039208621755916793,0.0,0.0
survival analysis,0.00039208621755916793,0.0,0.0
skeleton,0.0003917749927476082,0.0,0.0
osteocalcin,0.0003917749927476082,0.0,0.0
meaningful use,0.0003901487897056678,0.0,0.0
endophenotypes,0.00038465690235525127,0.0,0.0
spatial learning,0.00038465690235525127,0.0,0.0
hospitals,0.00038461350604568654,0.0,0.0
utah,0.00038422763423616414,0.0,0.0
inositol,0.000383917732439653,0.0,0.0
literature,0.00038320534823924973,0.0,0.0
exome sequencing,0.00038320534823924973,0.0,0.0
exome,0.00038320534823924973,0.0,0.0
jaw,0.00038320534823924973,0.0,0.0
gestures,0.00038289368939742796,0.0,0.0
freedom,0.00038289368939742796,0.0,0.0
sign language,0.00038289368939742796,0.0,0.0
friends,0.0003822196336583374,0.0,0.0
san francisco,0.0003822196336583374,0.0,0.0
postdoctoral training,0.0003822196336583374,0.0,0.0
sarcoma,0.00037909705044539234,0.0,0.0
dna breaks,0.0003775384994822577,0.0,0.0
outline,0.00037672754690251854,0.0,0.0
cations,0.00037672754690251854,0.0,0.0
government,0.0003764415293831629,0.0,0.0
hospital medicine,0.0003764415293831629,0.0,0.0
iga vasculitis,0.0003721161295377995,0.0,0.0
vasculitis,0.0003721161295377995,0.0,0.0
melanogenesis,0.0003718225968095765,0.0,0.0
visual pathways,0.0003718225968095765,0.0,0.0
iontophoresis,0.0003692654582755289,0.0,0.0
spatial memory,0.0003692654582755289,0.0,0.0
parahippocampal gyrus,0.0003692654582755289,0.0,0.0
psychophysics,0.0003692654582755289,0.0,0.0
hematology,0.0003671730908172977,0.0,0.0
medical oncology,0.0003671730908172977,0.0,0.0
germany,0.0003671730908172977,0.0,0.0
cisplatin,0.0003615560687670556,0.0,0.0
triglycerides,0.00035742708013476715,0.0,0.0
italy,0.0003533909192723257,0.0,0.0
glycosylation,0.0003533909192723257,0.0,0.0
comprehension,0.00035168782514383477,0.0,0.0
pubmed,0.00035168782514383477,0.0,0.0
kansas,0.00034642808665287186,0.0,0.0
serum,0.00034642808665287186,0.0,0.0
hiv antibodies,0.00034642808665287186,0.0,0.0
